crystal_id,row_id,crystal_id(top-down),row_id(top-down),in_row_id,x,y,z
1,1,61,4,1,365.55587499999996,92.86795000000001,-92.42622500000002
2,1,62,4,2,320.439625,141.510875,-92.6954
3,1,63,4,3,265.49425,180.48825,-93.035575
4,1,64,4,4,204.26999999999998,208.78862500000002,-93.433525
5,1,65,4,5,139.897625,226.37124999999997,-93.932475
6,1,66,4,6,74.613025,233.76537499999995,-94.40210000000002
7,1,67,4,7,9.6581,231.547375,-94.75460000000001
8,1,68,4,8,-54.83855,219.74124999999998,-94.90192500000002
9,1,69,4,9,-116.99289999999999,198.1085,-94.80082499999999
10,1,70,4,10,-174.005625,166.898875,-94.5086
11,1,71,4,11,-224.352375,125.76017500000002,-94.125475
12,1,72,4,12,-265.046,75.03670000000001,-93.742775
13,1,73,4,13,-292.47225000000003,16.553973750000004,-93.41875
14,1,74,4,14,-303.76099999999997,-46.286075000000004,-93.216225
15,1,75,4,15,-297.9035,-109.35872499999999,-93.08274999999999
16,1,76,4,16,-275.91975,-168.66637500000002,-93.00609999999999
17,1,77,4,17,-240.38649999999998,-221.10925,-92.96655000000001
18,1,78,4,18,-194.4985,-264.8815,-92.942125
19,1,79,4,19,-141.2905,-299.26262499999996,-92.91422500000002
20,1,80,4,20,-83.23875,-324.1941250000001,-92.87
21,2,41,3,1,365.522,92.85954999999998,-30.9114875
22,2,42,3,2,320.38925,141.48875,-31.0117175
23,2,43,3,3,265.421,180.438625,-31.138744999999997
24,2,44,3,4,204.173,208.68937499999998,-31.2878775
25,2,45,3,5,139.7875,226.19312499999998,-31.447157500000003
26,2,46,3,6,74.5239375,233.48637499999998,-31.596185
27,2,47,3,7,9.642800000000001,231.180375,-31.707235000000004
28,2,48,3,8,-54.741299999999995,219.35162499999998,-31.753347499999997
29,2,49,3,9,-116.80085,197.78325,-31.721747500000006
30,2,50,3,10,-173.779,166.681375,-31.629737499999997
31,2,51,3,11,-224.14175,125.64198749999998,-31.5086
32,2,52,3,12,-264.872125,74.987525,-31.386625000000002
33,2,53,3,13,-292.3355,16.5462125,-31.28313
34,2,54,3,14,-303.65250000000003,-46.26957499999999,-31.206422500000002
35,2,55,3,15,-297.8155,-109.3263375,-31.15641
36,2,56,3,16,-275.84725000000003,-168.621875,-31.127785
37,2,57,3,17,-240.327,-221.05475,-31.112922500000003
38,2,58,3,18,-194.45237500000002,-264.81875,-31.103825
39,2,59,3,19,-141.258125,-299.194375,-31.0934175
40,2,60,3,20,-83.22115000000001,-324.12525000000005,-31.076767500000003
41,3,21,2,1,365.52200000000005,92.85955,30.9114875
42,3,22,2,2,320.38924999999995,141.48875,31.011717499999996
43,3,23,2,3,265.421,180.43862500000003,31.138744999999997
44,3,24,2,4,204.17300000000003,208.68937499999998,31.287877500000004
45,3,25,2,5,139.7875,226.193125,31.447157500000003
46,3,26,2,6,74.5239375,233.48637499999998,31.596185
47,3,27,2,7,9.642800000000001,231.180375,31.707235
48,3,28,2,8,-54.7413,219.35162499999996,31.753347499999997
49,3,29,2,9,-116.80085,197.78324999999998,31.721747500000006
50,3,30,2,10,-173.77900000000002,166.681375,31.629737499999997
51,3,31,2,11,-224.14175,125.64198749999998,31.5086
52,3,32,2,12,-264.87212500000004,74.98752499999999,31.386625000000006
53,3,33,2,13,-292.3355,16.5462125,31.28313
54,3,34,2,14,-303.65250000000003,-46.269575,31.206422500000002
55,3,35,2,15,-297.8155,-109.32633750000001,31.15641
56,3,36,2,16,-275.84725,-168.62187500000002,31.127785
57,3,37,2,17,-240.327,-221.05475,31.112922500000003
58,3,38,2,18,-194.452375,-264.81874999999997,31.103825
59,3,39,2,19,-141.258125,-299.19437500000004,31.0934175
60,3,40,2,20,-83.22115000000001,-324.12524999999994,31.076767500000003
61,4,1,1,1,365.555875,92.86795,92.42622499999999
62,4,2,1,2,320.439625,141.510875,92.6954
63,4,3,1,3,265.49425,180.48825,93.035575
64,4,4,1,4,204.26999999999998,208.78862500000002,93.433525
65,4,5,1,5,139.897625,226.37125,93.93247500000001
66,4,6,1,6,74.613025,233.76537499999998,94.40210000000002
67,4,7,1,7,9.6581,231.547375,94.75460000000001
68,4,8,1,8,-54.83855,219.74124999999998,94.901925
69,4,9,1,9,-116.9929,198.1085,94.80082499999999
70,4,10,1,10,-174.005625,166.89887499999998,94.5086
71,4,11,1,11,-224.352375,125.76017499999998,94.12547500000001
72,4,12,1,12,-265.046,75.0367,93.742775
73,4,13,1,13,-292.47225000000003,16.55397375,93.41875
74,4,14,1,14,-303.76099999999997,-46.286075,93.21622500000001
75,4,15,1,15,-297.9035,-109.35872499999999,93.08275
76,4,16,1,16,-275.91975,-168.66637500000002,93.0061
77,4,17,1,17,-240.38649999999998,-221.10925,92.96655000000001
78,4,18,1,18,-194.4985,-264.88149999999996,92.942125
79,4,19,1,19,-141.2905,-299.26262499999996,92.91422499999999
80,4,20,1,20,-83.23875000000001,-324.194125,92.87000000000002
